Feature,Importance
COST_Y1_ADJ,0.22813170595054866
TOTAL_RX_COST_Y1,0.09672749948177717
AGE_Y1,0.06575291262530433
UTIL_OB_Y1,0.062326155992879294
CNT_RX_Y1,0.061580893922538134
CNT_TOTAL_CONDITIONS,0.06042164716372188
UTIL_RX_Y1,0.05058650027290599
CNT_UNIQUE_DRUGS,0.04676286584641594
POVCAT_Y1,0.030296928936853262
MARRY_Y1,0.026595799506735386
INSCOV_Y1,0.026292874304688615
RTHLTH_RD1,0.025448309437318805
MNHLTH_RD1,0.022959520463875994
RACE,0.018837974627287053
SEX,0.017495752081076302
CHRONIC_COUNT,0.01743770295384689
RATIO_ER_OFFICE,0.016990561186689453
CARE_CLUSTER,0.01528850592957947
POLYPHARMACY_FLAG,0.012787665314755635
CNT_ILL_DEFINED,0.012238145813980349
UTIL_ER_Y1,0.010306140402362319
HAS_CNS_RX,0.00967086335502477
CHOL_Y1_FLAG,0.008932746304348343
HIBP_Y1_FLAG,0.008564182527666248
DBSCAN_CLUSTER,0.008092407102734329
UTIL_IP_Y1,0.00796752114369252
HAS_CARDIOVASCULAR_RX,0.007735706579623595
HAS_GI_RX,0.007401657843889374
HAS_PAIN_RX,0.005824060343355872
DIAB_Y1_FLAG,0.005638814929070623
HAS_RESPIRATORY_RX,0.004905977655453483
