Tier,Strategy,N,Mean_Actual_Cost,R2_log,R2_dollar,MAE
Low_Improve,HardRouting,432,18.124467592592595,-2.1712022501111963,-2040.5695758539741,431.1392488562399
Low_Stable,HardRouting,1503,229.16137724550902,-0.05456469067231717,-42.997544731866746,832.5580786824346
Low_MildRise,HardRouting,714,1543.544929971989,-15.878979214399486,-5.218710415757109,1889.781099661086
Low_Jumper,HardRouting,357,12972.768291316528,-22.525825233341706,-0.2656224570020105,11874.253226245073
Mid_Improve,HardRouting,548,475.6890693430657,-0.22859024620710655,-93.3937510057321,1637.933764166188
Mid_Stable,HardRouting,603,2960.0746600331677,-10.434528928880137,-29.462945005457627,3906.9285597619964
Mid_Escalate,HardRouting,421,19781.518598574818,-7.118491192635366,-0.27840525448432163,16255.510117661574
High_Improve,HardRouting,746,3568.6666085790885,-0.07043982041534846,-17.455630850670964,10268.86838047369
High_Stable,HardRouting,569,32449.74298769771,-1.04594705896658,0.10874110316182661,24587.313494560898
High_Escalate,HardRouting,173,35745.43046242775,-7.093640012515097,-0.6321547385067925,23149.849250337462
Low_Improve,SoftRouting,432,18.124467592592595,-15.877436575214851,-9312.477972082612,3432.612769065282
Low_Stable,SoftRouting,1503,229.16137724550902,-2.5764502288680884,-71.98492383062514,2499.037852198068
Low_MildRise,SoftRouting,714,1543.544929971989,-0.785358853566245,-2.849251266793541,2088.6869871408217
Low_Jumper,SoftRouting,357,12972.768291316528,-0.3148772130183113,-0.15233412614452413,9663.952285054054
Mid_Improve,SoftRouting,548,475.6890693430657,-1.7008120181219124,-136.5063559358908,4284.0161797797555
Mid_Stable,SoftRouting,603,2960.0746600331677,-4.638495311269675,-13.284614433990125,3874.4456405651495
Mid_Escalate,SoftRouting,421,19781.518598574818,-0.9340813212202204,-0.19505109232478945,13270.170305773738
High_Improve,SoftRouting,746,3568.6666085790885,-0.812818971243207,-12.909902072249759,12728.464726085467
High_Stable,SoftRouting,569,32449.74298769771,0.2847803119209318,0.16528688935624436,20251.92795267318
High_Escalate,SoftRouting,173,35745.43046242775,-1.4227715621614254,-0.3806761868987396,18305.883776144223
Low_Improve,SoftRoutingWithFallback,432,18.124467592592595,-16.48481006365289,-25708.954281087783,4613.4481778398185
Low_Stable,SoftRoutingWithFallback,1503,229.16137724550902,-2.6459091433147557,-379.92154453067116,3695.5438462582915
Low_MildRise,SoftRoutingWithFallback,714,1543.544929971989,-1.4171697346263734,-54.613310406211276,4584.74687835508
Low_Jumper,SoftRoutingWithFallback,357,12972.768291316528,-0.2495386700459319,-0.15551136186900583,10341.815507809271
Mid_Improve,SoftRoutingWithFallback,548,475.6890693430657,-1.7008120181219124,-136.5063559358908,4284.0161797797555
Mid_Stable,SoftRoutingWithFallback,603,2960.0746600331677,-4.638495311269675,-13.284614433990125,3874.4456405651495
Mid_Escalate,SoftRoutingWithFallback,421,19781.518598574818,-0.9340813212202204,-0.19505109232478945,13270.170305773738
High_Improve,SoftRoutingWithFallback,746,3568.6666085790885,-0.812818971243207,-12.909902072249759,12728.464726085467
High_Stable,SoftRoutingWithFallback,569,32449.74298769771,0.2847803119209318,0.16528688935624436,20251.92795267318
High_Escalate,SoftRoutingWithFallback,173,35745.43046242775,-1.4227715621614254,-0.3806761868987396,18305.883776144223
