Feature,Importance
LOG_COST_Y1,0.32542974
COST_Y1_ADJ,0.2847028
CNT_TOTAL_CONDITIONS,0.0845933
INSCOV_Y1,0.037620142
UTIL_RX_Y1,0.035147887
CNT_RX_Y1,0.03226436
TOTAL_RX_COST_Y1,0.031606805
COST_PER_CONDITION,0.020955916
CHRONIC_COUNT,0.01915223
SEX,0.018291244
UTIL_OB_Y1,0.014599153
HIBP_Y1_FLAG,0.009616482
POVCAT_Y1,0.008944045
UTIL_IP_Y1,0.008019369
ACUTE_SHARE,0.007831564
CHOL_Y1_FLAG,0.006917411
IP_FLAG,0.006583752
DIAB_Y1_FLAG,0.0058585447
AGE_Y1,0.005498901
RATIO_ER_OFFICE,0.0046638115
RX_COST_PER_FILL,0.004436779
RTHLTH_RD1,0.0042895726
CNT_ILL_DEFINED,0.004267292
MARRY_Y1,0.004256157
RX_PER_CONDITION,0.0040731505
UTIL_ER_Y1,0.003870277
MNHLTH_RD1,0.003710464
RACE,0.002798875
