Strategy,Segment,N,MAE,R2_log,R2_dollar,WMAPE
HardRouting,Overall,6066,7052.211597275813,0.28699753655726234,0.15163476299413958,0.97736717917299
SoftRouting,Overall,6066,7358.501311109021,-0.2323650900512757,0.23049001270604508,1.01981592159792
SoftRoutingWithFallback,Overall,6066,8072.7534275801245,-0.26054955832942905,0.1828441880188545,1.1188042413135908
HardRouting,Stage1Hard_Low_Improve,1069,2390.8509484324263,-0.49420689171606,-0.04661769045150521,0.9968852524724953
HardRouting,Stage1Hard_Low_Stable,1166,754.1254156795558,-0.033516950226856856,-0.016909827322166615,0.9901488427412429
HardRouting,Stage1Hard_Low_MildRise,560,3307.185759946551,-0.07094822491778796,-0.003204244993284089,0.9498193730954815
HardRouting,Stage1Hard_Low_Jumper,211,8240.972182779176,-1.2682928316772557,-0.5645422809118765,2.542561325953146
HardRouting,Stage1Hard_Mid_Improve,656,3744.834984826242,0.14316624669747435,-0.08589025117481897,0.9296550747336834
HardRouting,Stage1Hard_Mid_Stable,642,5917.979549503505,0.009691434158134893,-0.05160849996649053,0.8041466855161726
HardRouting,Stage1Hard_Mid_Escalate,274,14018.542930685446,-0.7249858742748461,-0.1463638290719873,1.2776197429523746
HardRouting,Stage1Hard_High_Improve,763,9358.069082108083,0.296082074735604,-0.012413286467038764,0.8627511563891052
HardRouting,Stage1Hard_High_Stable,424,24677.331651588294,-0.06423552255348053,0.17443783328183438,0.715050774771392
HardRouting,Stage1Hard_High_Escalate,301,26751.780002076415,-1.0292683762301866,-2.593845557906441,1.829563134239108
SoftRouting,Stage1Hard_Low_Improve,1069,3874.864045210336,-0.9249458508103738,0.000675992130617864,1.6156568959427442
SoftRouting,Stage1Hard_Low_Stable,1166,1950.0993058372896,-2.3357440454293523,-0.07346611947163817,2.5604342868690293
SoftRouting,Stage1Hard_Low_MildRise,560,5068.910164590737,-0.5359609773320699,-0.02491472926511995,1.4557842904133387
SoftRouting,Stage1Hard_Low_Jumper,211,4387.018651970621,-0.7406886183891275,0.05953134906443358,1.353513118760941
SoftRouting,Stage1Hard_Mid_Improve,656,4735.273205377221,-0.44065955662318945,0.0055018429535660385,1.1755313073784548
SoftRouting,Stage1Hard_Mid_Stable,642,7122.7831125938565,-0.2832532082338397,0.012544584013334359,0.9678577601917285
SoftRouting,Stage1Hard_Mid_Escalate,274,9458.055859482198,-0.19258629701516994,0.003017890133747758,0.8619867953302335
SoftRouting,Stage1Hard_High_Improve,763,12500.484902109052,-0.30131331296834785,0.10801563281776239,1.1524608025536878
SoftRouting,Stage1Hard_High_Stable,424,23837.619183673472,-0.023458566049625817,0.1368811668570955,0.6907192522532737
SoftRouting,Stage1Hard_High_Escalate,301,15085.312524308949,-0.4415482968676354,-0.3349987279194122,1.031689542184069
SoftRoutingWithFallback,Stage1Hard_Low_Improve,1069,4783.28879260291,-0.9777454914394079,-0.23627379116070468,1.994432174364206
SoftRoutingWithFallback,Stage1Hard_Low_Stable,1166,2289.588386620367,-2.3497091084983714,-0.7322207832349303,3.006175424180714
SoftRoutingWithFallback,Stage1Hard_Low_MildRise,560,10235.316650134351,-0.8391300509959407,-1.5439801170176781,2.939569395164991
SoftRoutingWithFallback,Stage1Hard_Low_Jumper,211,4730.693455068038,-0.75220652057436,-0.061817100680219506,1.4595460289175886
SoftRoutingWithFallback,Stage1Hard_Mid_Improve,656,4735.273205377221,-0.44065955662318945,0.0055018429535660385,1.1755313073784548
SoftRoutingWithFallback,Stage1Hard_Mid_Stable,642,7122.7831125938565,-0.2832532082338397,0.012544584013334359,0.9678577601917285
SoftRoutingWithFallback,Stage1Hard_Mid_Escalate,274,9458.055859482198,-0.19258629701516994,0.003017890133747758,0.8619867953302335
SoftRoutingWithFallback,Stage1Hard_High_Improve,763,12500.484902109052,-0.30131331296834785,0.10801563281776239,1.1524608025536878
SoftRoutingWithFallback,Stage1Hard_High_Stable,424,23837.619183673472,-0.023458566049625817,0.1368811668570955,0.6907192522532737
SoftRoutingWithFallback,Stage1Hard_High_Escalate,301,15085.312524308949,-0.4415482968676354,-0.3349987279194122,1.031689542184069
HardRouting,ReviewFlag_0,6066,7052.211597275813,0.28699753655726234,0.15163476299413958,0.97736717917299
SoftRouting,ReviewFlag_0,6066,7358.501311109021,-0.2323650900512757,0.23049001270604508,1.01981592159792
SoftRoutingWithFallback,ReviewFlag_0,6066,8072.7534275801245,-0.26054955832942905,0.1828441880188545,1.1188042413135908
